"","siteIDScheme","media","NSamples","minValue","meanValue","maxValue","sd","pH","TSS","TDS","Cu","Zn","conductivity"
"1","ksm001MonitoringSite","borehole",5,37.2,60.432,81.6,20.174,7,18,1093,0,1,5
"2","ksm002MonitoringSite","river",4,10.5,10.9,11.3,NA,3,21,1022,0,3,1
"3","ksm001MonitoringSite","borehole",2,74.857,74.928,75,0.101,7,9,1042,2,0,4
"4","ksm001MonitoringSite","river",6,0.005,0.006,0.008,0,-7,10,1043,2,1,0
"5","ksm002MonitoringSite","borehole",1,78.5,78.5,78.5,NA,-1,11,985,1,1,4
"6","ksm001MonitoringSite","vendor",1,95.5,95.5,95.5,NA,7,29,960,1,3,0
"7","ksm001MonitoringSite","river",1,0.004,0.004,0.004,NA,2,5,1007,3,1,5
"8","ksm001MonitoringSite","river",2,4.4,6.4667,8.5333,2.9227,7,30,1016,0,2,2
"9","ksm001MonitoringSite","Tap",7,0.009,0.013,0.017,0.002,2,3,1002,1,1,3
"10","ksm001MonitoringSite","borehole",1,0.0047,0.0047,0.0047,NA,-5,7,1063,3,1,0
"11","ksm001MonitoringSite","Tap",2,10.062,10.078,10.093,0.022,7,1,910,3,3,2
"12","ksm001MonitoringSite","borehole",1,0.001288,0.001288,0.001288,NA,-5,20,920,2,3,4
"13","ksm001MonitoringSite","vendor",3,7.3,8.363,9.24,0.983,-3,18,1037,2,0,4
"14","ksm001MonitoringSite","borehole",2,45.666,49.333,53,5.185,-2,30,1095,0,3,5
"15","ksm002MonitoringSite","borehole",2,0.024,0.034,0.044,0.014,0,25,982,1,1,2
"16","ksm001MonitoringSite","river",2,30.4,59,87.6,40.446,-1,16,1036,2,1,2
"17","ksm001MonitoringSite","Tap",2,0.088872,0.101752,0.114632,0.014,-6,7,1083,2,0,0
"18","ksm001MonitoringSite","vendor",2,0.009016,0.018032,0.02576,0.009,1,8,1032,0,0,5
"19","ksm001MonitoringSite","borehole",3,65.2,73.4,80.6667,7.7755,4,2,948,1,1,1
